Shipment_ID,Order_ID,Customer_ID,Product_ID,Origin_Country,Destination_Country,Transport_Mode,Carrier,Order_Date,Shipping_Date,Planned_Arrival_Date,Actual_Arrival_Date,Delay_Days,Delay_Status,Delay_Reason,Shipment_Value,Priority_Level,Route
100040,229219,5096,7,South Africa,Brazil,Sea,ONE (Ocean Network Express),2023-03-13,2023-03-16,2023-04-01,2023-04-11,10,Delayed,Carrier Issues,30576.2,Low,South Africa → Brazil
100041,243404,8847,1,USA,China,Sea,MSC (Mediterranean Shipping Company),2024-08-17,2024-08-20,2024-08-26,2024-09-02,7,Delayed,Weather,45146.27,Medium,USA → China
100042,295491,8221,11,South Africa,Netherlands,Road,Cargo Carriers,2023-04-29,2023-05-03,2023-05-14,2023-05-16,2,Delayed,Port Congestion,4284.6,Medium,South Africa → Netherlands
100043,200221,7129,18,UK,USA,Road,Cargo Carriers,2024-11-17,2024-11-19,2024-12-05,2024-12-07,2,Delayed,Documentation Issues,6178.06,Low,UK → USA
100044,243279,7552,11,UK,China,Air,Air France-KLM (AFKLM),2023-11-04,2023-11-09,2023-11-23,2023-11-23,0,On-Time,,50350.07,Medium,UK → China
100045,252743,7855,10,Brazil,China,Air,Etihad (EY),2024-03-06,2024-03-10,2024-03-20,2024-03-20,0,On-Time,,46548.1,Medium,Brazil → China
100046,253225,7244,1,Germany,UK,Sea,MSC (Mediterranean Shipping Company),2024-03-16,2024-03-21,2024-04-05,2024-04-09,4,Delayed,Documentation Issues,33692.17,Low,Germany → UK
100047,228010,7093,16,Netherlands,USA,Road,DHL,2024-11-05,2024-11-06,2024-11-20,2024-11-26,6,Delayed,Carrier Issues,50125.18,Low,Netherlands → USA
100048,243933,5382,8,UK,USA,Sea,MSC (Mediterranean Shipping Company),2023-07-23,2023-07-25,2023-07-30,2023-08-07,8,Delayed,Weather,19118.35,Medium,UK → USA
100049,280120,8480,3,India,USA,Sea,COSCO,2023-07-19,2023-07-23,2023-08-12,2023-08-12,0,On-Time,,30574.31,High,India → USA
100050,285990,7816,1,UK,Netherlands,Air,Kenya Airways (KQ),2023-08-13,2023-08-15,2023-09-03,2023-09-05,2,Delayed,Weather,42248.03,High,UK → Netherlands
100051,259829,5546,15,UK,China,Road,Cargo Carriers,2024-09-01,2024-09-04,2024-09-23,2024-09-24,1,Delayed,Carrier Issues,61310.48,Low,UK → China
100052,255933,8402,18,India,China,Air,Air France-KLM (AFKLM),2024-05-01,2024-05-05,2024-05-18,2024-05-18,0,On-Time,,56631.48,Low,India → China
100053,236347,8136,17,India,South Africa,Road,DHL,2023-10-09,2023-10-13,2023-10-20,2023-10-24,4,Delayed,Port Congestion,18352.52,Medium,India → South Africa
100054,241904,8657,18,China,UK,Air,Etihad (EY),2023-08-25,2023-08-29,2023-09-07,2023-09-11,4,Delayed,Customs,5752.93,Medium,China → UK
100055,243369,7222,15,South Africa,UK,Air,Etihad (EY),2024-03-06,2024-03-10,2024-03-15,2024-03-18,3,Delayed,Carrier Issues,29148.2,High,South Africa → UK
100056,246105,6223,13,Netherlands,Brazil,Sea,COSCO,2024-07-13,2024-07-18,2024-07-30,2024-08-01,2,Delayed,Documentation Issues,17237.2,Medium,Netherlands → Brazil
100057,263654,5118,13,South Africa,China,Road,Cargo Carriers,2024-02-19,2024-02-21,2024-03-11,2024-03-13,2,Delayed,Customs,73573.43,Low,South Africa → China
100058,203534,8714,13,Brazil,Germany,Road,Cargo Carriers,2023-01-28,2023-01-29,2023-02-16,2023-02-19,3,Delayed,Customs,65147.0,High,Brazil → Germany
100059,206590,6065,13,Germany,Netherlands,Air,Kenya Airways (KQ),2023-12-01,2023-12-04,2023-12-21,2023-12-24,3,Delayed,Port Congestion,56648.73,Medium,Germany → Netherlands
100060,233065,8419,3,India,Germany,Air,Air France-KLM (AFKLM),2024-07-06,2024-07-07,2024-07-23,2024-07-24,1,Delayed,Customs,49110.66,Low,India → Germany
100061,205276,8089,1,Germany,USA,Air,Emirates (EK),2024-09-28,2024-09-30,2024-10-12,2024-10-13,1,Delayed,Customs,36043.52,High,Germany → USA
100062,273920,8882,7,India,USA,Road,FedEx,2024-01-13,2024-01-15,2024-01-23,2024-01-23,0,On-Time,,58556.6,High,India → USA
100063,240768,5442,19,China,Germany,Sea,COSCO,2024-11-24,2024-11-28,2024-12-15,2024-12-16,1,Delayed,Customs,6623.74,Low,China → Germany
100064,282213,5994,4,UK,Germany,Sea,COSCO,2023-05-04,2023-05-09,2023-05-15,2023-05-26,11,Delayed,Port Congestion,40423.15,Low,UK → Germany
100065,248571,5282,17,Brazil,Netherlands,Sea,Maersk,2024-03-06,2024-03-10,2024-03-18,2024-03-31,13,Delayed,Documentation Issues,72098.28,Low,Brazil → Netherlands
100066,260258,7897,5,South Africa,Netherlands,Air,Air France-KLM (AFKLM),2024-06-18,2024-06-21,2024-07-11,2024-07-12,1,Delayed,Documentation Issues,33232.51,Low,South Africa → Netherlands
100067,277656,6099,11,Netherlands,Brazil,Air,Emirates (EK),2023-10-13,2023-10-17,2023-10-29,2023-11-02,4,Delayed,Documentation Issues,43168.87,Low,Netherlands → Brazil
100068,249674,6377,1,India,South Africa,Sea,MSC (Mediterranean Shipping Company),2024-05-14,2024-05-16,2024-06-01,2024-06-09,8,Delayed,Port Congestion,26185.07,Low,India → South Africa
100069,291905,8604,9,Brazil,China,Air,British Airways (IAG),2023-07-15,2023-07-16,2023-07-28,2023-07-28,0,On-Time,,54285.53,Medium,Brazil → China
100070,272768,8105,8,UK,Germany,Sea,PIL (Pacific International Lines),2024-04-03,2024-04-04,2024-04-11,2024-04-19,8,Delayed,Port Congestion,17398.13,Low,UK → Germany
100071,231890,6254,19,South Africa,Germany,Sea,COSCO,2024-06-27,2024-06-30,2024-07-18,2024-08-01,14,Delayed,Carrier Issues,25478.56,Low,South Africa → Germany
100072,259473,6109,10,Germany,South Africa,Air,Emirates (EK),2023-07-17,2023-07-20,2023-07-28,2023-07-29,1,Delayed,Carrier Issues,71364.94,Low,Germany → South Africa
100073,224267,5784,7,UK,Brazil,Sea,ONE (Ocean Network Express),2024-08-26,2024-08-31,2024-09-14,2024-09-28,14,Delayed,Weather,62614.5,Medium,UK → Brazil
100074,229816,6478,6,Germany,UK,Air,Air France-KLM (AFKLM),2024-06-30,2024-07-02,2024-07-15,2024-07-15,0,On-Time,,4368.16,High,Germany → UK
100075,272529,6196,5,Brazil,UK,Sea,Maersk,2023-01-13,2023-01-18,2023-02-01,2023-02-12,11,Delayed,Documentation Issues,36424.85,Medium,Brazil → UK
100076,224164,8954,2,Germany,South Africa,Sea,Maersk,2023-03-08,2023-03-12,2023-04-01,2023-04-08,7,Delayed,Weather,43699.57,Low,Germany → South Africa
100077,207026,5621,5,Netherlands,Germany,Road,FedEx,2023-03-29,2023-03-31,2023-04-08,2023-04-10,2,Delayed,Carrier Issues,57568.81,Low,Netherlands → Germany
100078,278135,8238,20,Germany,China,Road,FedEx,2024-04-06,2024-04-10,2024-04-24,2024-04-27,3,Delayed,Carrier Issues,74262.31,Medium,Germany → China
100079,274531,7543,2,Brazil,India,Road,DHL,2023-08-01,2023-08-03,2023-08-16,2023-08-16,0,On-Time,,49871.68,High,Brazil → India
100080,231439,5711,18,China,Brazil,Air,Emirates (EK),2024-02-23,2024-02-27,2024-03-18,2024-03-19,1,Delayed,Port Congestion,3415.35,Medium,China → Brazil
100081,292662,6158,15,China,Brazil,Road,DHL,2023-09-28,2023-10-03,2023-10-14,2023-10-18,4,Delayed,Documentation Issues,9493.45,High,China → Brazil
100082,284886,5610,9,Netherlands,South Africa,Air,Emirates (EK),2023-03-03,2023-03-05,2023-03-19,2023-03-23,4,Delayed,Carrier Issues,56422.87,Low,Netherlands → South Africa
100083,237828,6798,4,India,USA,Road,FedEx,2024-02-17,2024-02-20,2024-03-11,2024-03-12,1,Delayed,Documentation Issues,6952.7,High,India → USA
100084,256626,8008,11,Brazil,South Africa,Sea,Maersk,2023-04-04,2023-04-06,2023-04-11,2023-04-13,2,Delayed,Port Congestion,43642.28,High,Brazil → South Africa
100085,261669,7125,15,Germany,India,Air,British Airways (IAG),2024-03-22,2024-03-26,2024-04-02,2024-04-02,0,On-Time,,35780.77,Medium,Germany → India
100086,243687,6315,4,Netherlands,Brazil,Air,Qatar Airways (QR),2024-02-26,2024-03-01,2024-03-15,2024-03-18,3,Delayed,Documentation Issues,61203.89,Low,Netherlands → Brazil
100087,204809,6862,3,Germany,Netherlands,Sea,ONE (Ocean Network Express),2023-04-29,2023-05-03,2023-05-08,2023-05-16,8,Delayed,Carrier Issues,35186.25,High,Germany → Netherlands
100088,224586,7123,12,Brazil,India,Sea,PIL (Pacific International Lines),2023-02-22,2023-02-24,2023-03-09,2023-03-13,4,Delayed,Carrier Issues,10694.98,Medium,Brazil → India
100089,257424,8607,16,USA,China,Air,Air France-KLM (AFKLM),2024-09-15,2024-09-17,2024-09-27,2024-09-30,3,Delayed,Port Congestion,41762.09,Low,USA → China
100090,253476,5381,8,Netherlands,India,Air,Kenya Airways (KQ),2023-05-01,2023-05-03,2023-05-23,2023-05-25,2,Delayed,Port Congestion,38656.53,Medium,Netherlands → India
100091,254459,8419,16,India,Germany,Air,Kenya Airways (KQ),2024-07-18,2024-07-20,2024-08-06,2024-08-09,3,Delayed,Customs,69218.24,Low,India → Germany
100092,297818,8601,5,Netherlands,UK,Air,Qatar Airways (QR),2024-02-29,2024-03-03,2024-03-16,2024-03-16,0,On-Time,,61720.66,Medium,Netherlands → UK
100093,295164,6222,19,Brazil,Germany,Road,FedEx,2023-06-02,2023-06-06,2023-06-26,2023-06-28,2,Delayed,Port Congestion,25600.56,Low,Brazil → Germany
100094,249441,6865,11,Netherlands,UK,Air,Air France-KLM (AFKLM),2023-09-02,2023-09-07,2023-09-24,2023-09-25,1,Delayed,Customs,64344.96,Medium,Netherlands → UK
100095,205720,6303,16,UK,South Africa,Sea,PIL (Pacific International Lines),2024-11-10,2024-11-12,2024-12-02,2024-12-02,0,On-Time,,72397.01,High,UK → South Africa
100096,265836,8954,19,South Africa,China,Air,Kenya Airways (KQ),2023-04-13,2023-04-18,2023-05-07,2023-05-09,2,Delayed,Weather,54460.84,Medium,South Africa → China
100097,285823,8972,5,China,Brazil,Sea,ONE (Ocean Network Express),2023-12-13,2023-12-18,2024-01-04,2024-01-12,8,Delayed,Weather,64030.63,Low,China → Brazil
100098,269942,6556,11,Brazil,UK,Road,FedEx,2024-07-08,2024-07-09,2024-07-16,2024-07-19,3,Delayed,Customs,47705.92,Medium,Brazil → UK
100099,229817,8058,3,South Africa,Netherlands,Air,Air France-KLM (AFKLM),2023-04-13,2023-04-17,2023-04-27,2023-04-28,1,Delayed,Port Congestion,67853.38,High,South Africa → Netherlands
100100,242516,8261,2,Germany,Brazil,Sea,ONE (Ocean Network Express),2024-03-17,2024-03-19,2024-03-31,2024-03-31,0,On-Time,,40306.31,Low,Germany → Brazil
100101,289364,8246,6,USA,India,Air,Emirates (EK),2024-09-16,2024-09-20,2024-10-02,2024-10-03,1,Delayed,Documentation Issues,68549.35,High,USA → India
100102,230433,6888,9,India,USA,Sea,Maersk,2024-04-21,2024-04-24,2024-05-04,2024-05-09,5,Delayed,Weather,33688.0,Medium,India → USA
100103,277014,6225,14,UK,Germany,Sea,PIL (Pacific International Lines),2023-11-06,2023-11-08,2023-11-25,2023-11-27,2,Delayed,Documentation Issues,8892.34,Medium,UK → Germany
100104,274963,6470,19,Germany,Brazil,Road,FedEx,2023-01-23,2023-01-27,2023-02-09,2023-02-11,2,Delayed,Weather,42878.75,Low,Germany → Brazil
100105,297605,8987,2,Brazil,South Africa,Road,FedEx,2023-10-21,2023-10-23,2023-11-08,2023-11-12,4,Delayed,Customs,48109.72,Low,Brazil → South Africa
100106,232850,7776,5,Brazil,UK,Air,Air France-KLM (AFKLM),2024-10-23,2024-10-24,2024-11-07,2024-11-12,5,Delayed,Documentation Issues,3468.98,Medium,Brazil → UK
100107,295991,5538,3,Germany,Brazil,Sea,PIL (Pacific International Lines),2023-06-29,2023-07-01,2023-07-10,2023-07-17,7,Delayed,Carrier Issues,65858.08,Medium,Germany → Brazil
100108,269579,7055,9,Netherlands,India,Air,Qatar Airways (QR),2024-05-08,2024-05-11,2024-05-26,2024-05-28,2,Delayed,Weather,35656.52,High,Netherlands → India
100109,218449,8089,8,Netherlands,UK,Road,Cargo Carriers,2024-11-21,2024-11-25,2024-12-11,2024-12-13,2,Delayed,Weather,59510.47,High,Netherlands → UK
100110,234663,7197,4,India,USA,Sea,ONE (Ocean Network Express),2024-08-21,2024-08-25,2024-09-10,2024-09-10,0,On-Time,,9017.61,High,India → USA
100111,261797,5102,20,Brazil,China,Sea,COSCO,2023-08-15,2023-08-16,2023-09-04,2023-09-10,6,Delayed,Port Congestion,49043.72,High,Brazil → China
100112,218320,5185,2,Germany,UK,Sea,Maersk,2023-04-10,2023-04-12,2023-04-21,2023-04-28,7,Delayed,Documentation Issues,34569.64,Low,Germany → UK
100113,297404,7852,18,South Africa,UK,Road,Cargo Carriers,2023-06-08,2023-06-12,2023-06-20,2023-06-30,10,Delayed,Documentation Issues,46558.26,Medium,South Africa → UK
100114,204288,7827,12,USA,Netherlands,Sea,PIL (Pacific International Lines),2023-08-30,2023-09-02,2023-09-10,2023-09-16,6,Delayed,Port Congestion,41290.47,Low,USA → Netherlands
100115,247012,5248,13,Germany,India,Air,Emirates (EK),2024-04-10,2024-04-11,2024-04-22,2024-04-24,2,Delayed,Carrier Issues,72860.91,High,Germany → India
100116,243713,5997,5,Netherlands,USA,Road,DHL,2023-03-12,2023-03-17,2023-03-28,2023-03-30,2,Delayed,Carrier Issues,16980.4,High,Netherlands → USA
100117,243064,8171,5,Netherlands,USA,Road,DHL,2023-10-11,2023-10-13,2023-10-22,2023-10-22,0,On-Time,,40975.94,High,Netherlands → USA
100118,214408,7707,1,USA,Germany,Air,Qatar Airways (QR),2023-09-01,2023-09-06,2023-09-21,2023-09-25,4,Delayed,Weather,13894.22,High,USA → Germany
100119,216614,8038,14,India,UK,Air,Air France-KLM (AFKLM),2023-03-07,2023-03-11,2023-03-30,2023-04-02,3,Delayed,Port Congestion,38979.61,High,India → UK
100120,259245,7063,8,Brazil,India,Air,Air France-KLM (AFKLM),2024-11-05,2024-11-10,2024-11-24,2024-11-27,3,Delayed,Documentation Issues,48607.21,High,Brazil → India
100121,207972,6961,13,South Africa,Netherlands,Road,DHL,2024-05-17,2024-05-21,2024-05-28,2024-05-28,0,On-Time,,67545.74,Medium,South Africa → Netherlands
100122,279730,5607,3,USA,Germany,Sea,COSCO,2024-10-10,2024-10-15,2024-10-30,2024-11-13,14,Delayed,Documentation Issues,74602.45,Low,USA → Germany
100123,238652,6858,17,Brazil,South Africa,Sea,Maersk,2023-04-28,2023-05-03,2023-05-14,2023-05-14,0,On-Time,,32825.18,High,Brazil → South Africa
100124,254239,6388,15,South Africa,Brazil,Sea,Maersk,2023-11-17,2023-11-21,2023-12-06,2023-12-15,9,Delayed,Port Congestion,28698.28,High,South Africa → Brazil
100125,290023,8780,16,China,Brazil,Air,Emirates (EK),2023-04-06,2023-04-10,2023-04-18,2023-04-24,6,Delayed,Port Congestion,61070.93,Low,China → Brazil
100126,207861,7402,18,Brazil,China,Sea,Maersk,2024-02-25,2024-02-28,2024-03-17,2024-03-19,2,Delayed,Weather,72661.5,Low,Brazil → China
100127,240953,6440,4,Brazil,USA,Road,DHL,2023-06-08,2023-06-12,2023-06-24,2023-06-25,1,Delayed,Weather,26908.44,Low,Brazil → USA
100128,248176,5470,9,Brazil,USA,Air,Kenya Airways (KQ),2024-07-28,2024-08-02,2024-08-07,2024-08-09,2,Delayed,Carrier Issues,69752.24,Low,Brazil → USA
100129,235054,5118,6,Germany,India,Road,FedEx,2023-12-14,2023-12-17,2023-12-22,2023-12-23,1,Delayed,Customs,65369.84,Low,Germany → India
100130,286159,6641,3,USA,South Africa,Road,Cargo Carriers,2023-02-01,2023-02-02,2023-02-13,2023-02-13,0,On-Time,,28838.39,Medium,USA → South Africa
100131,244681,5644,12,Germany,UK,Road,FedEx,2024-08-04,2024-08-09,2024-08-16,2024-08-19,3,Delayed,Weather,12512.91,Low,Germany → UK
100132,206522,7760,3,Germany,India,Sea,PIL (Pacific International Lines),2024-05-12,2024-05-17,2024-06-05,2024-06-06,1,Delayed,Documentation Issues,21214.35,Low,Germany → India
100133,214918,6413,14,USA,China,Sea,COSCO,2024-05-13,2024-05-18,2024-06-01,2024-06-10,9,Delayed,Weather,17318.36,Low,USA → China
100134,207180,5031,7,Germany,UK,Air,Etihad (EY),2023-09-19,2023-09-22,2023-10-07,2023-10-07,0,On-Time,,9878.84,Medium,Germany → UK
100135,297912,6763,6,USA,Germany,Sea,COSCO,2023-08-24,2023-08-29,2023-09-14,2023-09-28,14,Delayed,Weather,30383.27,Low,USA → Germany
100136,205544,6786,1,India,USA,Air,Qatar Airways (QR),2024-08-12,2024-08-16,2024-09-02,2024-09-02,0,On-Time,,53502.92,Medium,India → USA
100137,237947,5471,13,China,Germany,Sea,MSC (Mediterranean Shipping Company),2024-09-24,2024-09-28,2024-10-14,2024-10-19,5,Delayed,Weather,33316.67,High,China → Germany
100138,231891,6784,19,South Africa,Brazil,Road,DHL,2024-02-10,2024-02-13,2024-02-28,2024-03-04,5,Delayed,Customs,25647.08,High,South Africa → Brazil
100139,210011,7090,4,India,UK,Road,DHL,2023-12-24,2023-12-27,2024-01-05,2024-01-05,0,On-Time,,18483.89,High,India → UK
100140,233550,5808,6,Brazil,South Africa,Air,Air France-KLM (AFKLM),2023-03-19,2023-03-21,2023-04-10,2023-04-12,2,Delayed,Documentation Issues,56828.99,Low,Brazil → South Africa
100141,258838,7789,19,Brazil,Netherlands,Road,Cargo Carriers,2023-11-27,2023-11-30,2023-12-09,2023-12-15,6,Delayed,Documentation Issues,6053.18,Medium,Brazil → Netherlands
100142,282756,6240,9,Brazil,Germany,Air,Qatar Airways (QR),2024-06-03,2024-06-04,2024-06-18,2024-06-18,0,On-Time,,35168.94,High,Brazil → Germany
100143,207456,6510,10,China,Brazil,Road,DHL,2024-09-21,2024-09-26,2024-10-13,2024-10-16,3,Delayed,Documentation Issues,43944.38,Low,China → Brazil
100144,205376,6842,19,Brazil,Netherlands,Air,Qatar Airways (QR),2024-09-11,2024-09-15,2024-09-24,2024-09-26,2,Delayed,Weather,34338.71,Medium,Brazil → Netherlands
100145,293626,5345,17,Brazil,Netherlands,Air,Emirates (EK),2023-09-11,2023-09-15,2023-10-04,2023-10-07,3,Delayed,Carrier Issues,39683.35,High,Brazil → Netherlands
100146,247696,6527,10,South Africa,India,Sea,ONE (Ocean Network Express),2024-11-26,2024-12-01,2024-12-07,2024-12-07,0,On-Time,,59402.79,Low,South Africa → India
100147,243863,5269,11,China,Netherlands,Road,Cargo Carriers,2024-01-31,2024-02-03,2024-02-16,2024-02-16,0,On-Time,,54556.29,Low,China → Netherlands
100148,278997,8576,5,South Africa,China,Air,British Airways (IAG),2024-11-10,2024-11-12,2024-11-28,2024-12-01,3,Delayed,Port Congestion,72609.54,Low,South Africa → China
100149,286787,6605,5,Brazil,South Africa,Road,DHL,2023-11-14,2023-11-19,2023-12-06,2023-12-09,3,Delayed,Port Congestion,61175.67,Low,Brazil → South Africa
100150,292121,8395,17,China,UK,Road,Cargo Carriers,2024-03-09,2024-03-14,2024-03-30,2024-04-02,3,Delayed,Weather,27832.23,High,China → UK
100151,228074,6399,16,USA,UK,Air,Etihad (EY),2023-06-08,2023-06-09,2023-06-23,2023-06-25,2,Delayed,Weather,38569.04,Low,USA → UK
100152,296815,8619,17,China,South Africa,Road,FedEx,2024-09-24,2024-09-26,2024-10-13,2024-10-13,0,On-Time,,12414.7,High,China → South Africa
100153,290812,8158,20,Netherlands,Germany,Air,Air France-KLM (AFKLM),2024-03-24,2024-03-25,2024-04-12,2024-04-14,2,Delayed,Port Congestion,51050.86,High,Netherlands → Germany
100154,258222,7500,10,UK,Netherlands,Road,FedEx,2023-08-28,2023-09-02,2023-09-14,2023-09-17,3,Delayed,Port Congestion,72454.15,Medium,UK → Netherlands
100155,225430,6506,19,India,China,Sea,ONE (Ocean Network Express),2024-01-27,2024-02-01,2024-02-19,2024-02-22,3,Delayed,Customs,61449.95,Low,India → China
100156,218140,8575,9,China,India,Road,FedEx,2024-01-16,2024-01-21,2024-01-29,2024-02-06,8,Delayed,Carrier Issues,63986.29,Medium,China → India
100157,210993,8125,6,Germany,India,Sea,COSCO,2023-05-31,2023-06-04,2023-06-11,2023-06-20,9,Delayed,Customs,61436.04,Medium,Germany → India
